description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Développement d'un content management system with react frontend and node.js backend avec kubernetes,Technology,simple,44,english,Système,LOW,0.3076923076923077,0.07692307692307693
Application de géolocalisation avec cartes interactives Google Maps avec analytics avancés,Technology,simple,27,french,Application Web,LOW,0.0,0.0
Mise en place d'un cybersecurity solution with real-time intrusion detection system avec microservices,Technology,complexe,89,english,Système,HIGH,0.07692307692307693,0.0
Système de gestion des versions avec Git et interface web avec microservices,Technology,moyen,66,french,Application Web,MEDIUM,0.08333333333333333,0.08333333333333333
Création d'une virtualization solution using docker containers and kubernetes avec kubernetes avec interface utilisateur moderne,Technology,moyen,64,english,Application Web,LOW,0.2,0.06666666666666667
Développement d'un système de gestion de base de données distribuée avec mongodb,Technology,simple,25,french,Système,MEDIUM,0.08333333333333333,0.08333333333333333
Mise en place d'un augmented reality application for industrial training programs avec microservices,Technology,moyen,75,english,Application Web,LOW,0.07692307692307693,0.0
Mise en place d'un application mobile native ios/android pour la collaboration d'équipe,Technology,simple,51,french,Application Mobile,MEDIUM,0.0,0.0
Développement d'un secure cloud storage solution with end-to-end encryption avec security,Technology,simple,21,english,Application Web,HIGH,0.09090909090909091,0.0
Création d'une solution de stockage cloud sécurisé avec chiffrement end-to-end intégrant des APIs externes,Technology,simple,45,french,API REST,MEDIUM,0.07142857142857142,0.0
Implémentation d'une performance monitoring system with real-time alerts,Technology,moyen,79,english,Système,HIGH,0.0,0.0
Création d'une solution de cybersécurité avec détection d'intrusion en temps réel,Technology,simple,46,french,Application Web,HIGH,0.0,0.0
Développement d'un saas project management platform development with rest api integration avec microservices,Technology,moyen,61,english,API REST,LOW,0.15384615384615385,0.07692307692307693
Système de gestion hospitalière avec planification des ressources,Healthcare,simple,42,french,Système,HIGH,0.0,0.125
Clinical research platform for therapeutic trial management,Healthcare,simple,43,english,Application Web,HIGH,0.0,0.14285714285714285
Mise en place d'un système de gestion des dossiers médicaux électroniques conforme hipaa,Healthcare,simple,46,french,Système,MEDIUM,0.0,0.07692307692307693
Mise en place d'un laboratory management system with sample traceability,Healthcare,simple,40,english,Système,LOW,0.0,0.1
Développement d'un plateforme de recherche clinique avec gestion des essais thérapeutiques,Healthcare,simple,29,french,SaaS,LOW,0.0,0.09090909090909091
Implémentation d'une patient monitoring platform with iot sensors and medical devices,Healthcare,simple,35,english,Application Web,MEDIUM,0.0,0.0
Création d'une plateforme de suivi des patients avec iot et capteurs médicaux avec diagnostic,Healthcare,simple,26,french,SaaS,LOW,0.0,0.0
Développement d'un rehabilitation application with gamification and progress tracking avec AI-diagnostic,Healthcare,moyen,57,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme de coordination des soins entre professionnels de santé,Healthcare,simple,22,french,SaaS,HIGH,0.0,0.0
Développement d'un healthcare coordination platform for inter-professional communication avec patient-safety,Healthcare,simple,27,english,Application Web,LOW,0.0,0.0
Mise en place d'un système de gestion des rendez-vous médicaux avec rappels automatiques avec analytics avancés,Healthcare,simple,24,french,Système,HIGH,0.0,0.0625
Implémentation d'une hospital management system with resource planning and optimization avec AI-diagnostic,Healthcare,moyen,70,english,Système,MEDIUM,0.0,0.08333333333333333
Création d'une système de prescription électronique avec vérification des interactions,Healthcare,simple,49,french,Système,LOW,0.0,0.0
Implémentation d'une hipaa-compliant electronic medical records management system avec compliance,Healthcare,moyen,79,english,Système,HIGH,0.0,0.1
Implémentation d'une système de gestion des dossiers médicaux électroniques conforme hipaa avec patient-safety sécurisé et scalable,Healthcare,complexe,105,french,Système,HIGH,0.0,0.0625
Développement d'un medical imaging application with ai-powered diagnostic assistance avec HIPAA avec haute performance,Healthcare,moyen,62,english,Application Web,HIGH,0.0,0.0
Plateforme de pharmacovigilance avec détection d'effets indésirables,Healthcare,simple,46,french,SaaS,MEDIUM,0.0,0.0
Création d'une laboratory management system with sample traceability avec analytics avancés,Healthcare,simple,42,english,Système,HIGH,0.0,0.09090909090909091
Développement d'un application de télémédecine avec consultation vidéo sécurisée,Healthcare,simple,40,french,Application Web,HIGH,0.0,0.0
Implémentation d'une healthcare coordination platform for inter-professional communication,Healthcare,simple,50,english,Application Web,LOW,0.0,0.0
Mise en place d'un plateforme de pharmacovigilance avec détection d'effets indésirables avec medical-grade,Healthcare,simple,40,french,SaaS,MEDIUM,0.0,0.0
Healthcare coordination platform for inter-professional communication avec clinical,Healthcare,simple,29,english,Application Web,HIGH,0.0,0.0
Mise en place d'un système de gestion des dossiers médicaux électroniques conforme hipaa avec analytics avancés,Healthcare,moyen,67,french,Système,LOW,0.0,0.0625
Implémentation d'une clinical research platform for therapeutic trial management,Healthcare,simple,39,english,Application Web,HIGH,0.0,0.1111111111111111
Mise en place d'un système de prescription électronique avec vérification des interactions avec HIPAA,Healthcare,simple,27,french,Système,MEDIUM,0.0,0.0
Création d'une patient monitoring platform with iot sensors and medical devices avec HIPAA avec authentification SSO,Healthcare,moyen,72,english,Application Web,LOW,0.0,0.0
Application de télémédecine avec consultation vidéo sécurisée,Healthcare,simple,20,french,Application Web,HIGH,0.0,0.0
Mise en place d'un healthcare coordination platform for inter-professional communication,Healthcare,simple,43,english,Application Web,MEDIUM,0.0,0.0
Développement d'un application de télémédecine avec consultation vidéo sécurisée,Healthcare,simple,39,french,Application Web,HIGH,0.0,0.0
Implémentation d'une telemedicine application with secure video consultation platform avec telemedicine,Healthcare,simple,42,english,Application Web,LOW,0.0,0.0
Implémentation d'une application de télémédecine avec consultation vidéo sécurisée,Healthcare,simple,21,french,Application Web,LOW,0.0,0.0
Mise en place d'un hospital management system with resource planning and optimization avec telemedicine,Healthcare,simple,27,english,Système,LOW,0.0,0.07142857142857142
Développement d'un application mobile de suivi de la santé avec synchronisation wearables,Healthcare,simple,57,french,Application Mobile,MEDIUM,0.0,0.0
Implémentation d'une pharmacovigilance platform with adverse event detection system intégrant des APIs externes,Healthcare,simple,45,english,API REST,LOW,0.0,0.0
Développement d'un système de prescription électronique avec vérification des interactions avec AI-diagnostic,Healthcare,moyen,55,french,Système,LOW,0.0,0.0
Création d'une telemedicine application with secure video consultation platform avec diagnostic,Healthcare,moyen,52,english,Application Web,LOW,0.0,0.0
Mise en place d'un application d'imagerie médicale avec intelligence artificielle diagnostique,Healthcare,simple,31,french,Application Web,LOW,0.0,0.0
Implémentation d'une remote patient monitoring platform for chronic disease management,Healthcare,simple,32,english,Application Web,MEDIUM,0.0,0.1
Développement d'un plateforme de suivi des patients avec iot et capteurs médicaux avec clinical,Healthcare,simple,30,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un laboratory management system with sample traceability,Healthcare,simple,50,english,Système,MEDIUM,0.0,0.1
Plateforme de télésurveillance pour patients chroniques,Healthcare,simple,28,french,SaaS,LOW,0.0,0.0
Mise en place d'un rehabilitation application with gamification and progress tracking avec authentification SSO,Healthcare,simple,33,english,Application Web,MEDIUM,0.0,0.0
Application d'imagerie médicale avec intelligence artificielle diagnostique,Healthcare,simple,32,french,Application Web,HIGH,0.0,0.0
Implémentation d'une telemedicine application with secure video consultation platform multi-plateforme,Healthcare,simple,20,english,SaaS,MEDIUM,0.0,0.0
Implémentation d'une application mobile de suivi de la santé avec synchronisation wearables,Healthcare,simple,42,french,Application Mobile,LOW,0.0,0.0
Développement d'un rehabilitation application with gamification and progress tracking,Healthcare,simple,33,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de gestion des dossiers médicaux électroniques conforme hipaa avec AI-diagnostic,Healthcare,complexe,101,french,Système,MEDIUM,0.0,0.07692307692307693
